change,intraday_price,market_cap,stock_name,volume
+21.98 (+51.08%),65.01,4.534B,GameStop Corp. (GME),"195,711,513"
+3.34 (+12.43%),30.21,3.662B,Bed Bath & Beyond Inc. (BBBY),"38,732,588"
-13.04 (-9.91%),118.61,105.688B,International Business Machines Corporation (IBM),"38,014,430"
-0.01 (-0.06%),15.82,9.662B,American Airlines Group Inc. (AAL),"39,126,567"
+0.84 (+4.86%),18.13,5.845B,"FuelCell Energy, Inc. (FCEL)","39,505,592"
-0.22 (-0.69%),31.55,272.933B,Bank of America Corporation (BAC),"44,318,420"
+3.18 (+4.99%),66.87,31.298B,Plug Power Inc. (PLUG),"40,373,285"
+0.04 (+0.36%),11.11,97.322B,General Electric Company (GE),"51,085,392"
+1.79 (+14.21%),14.39,2.476B,Nano Dimension Ltd. (NNDM),"52,580,308"
+1.26 (+1.38%),92.79,111.726B,"Advanced Micro Devices, Inc. (AMD)","71,294,707"
-5.80 (-9.29%),56.66,230.21B,Intel Corporation (INTC),"85,729,315"
+4.54 (+25.49%),22.35,5.783B,Churchill Capital Corp IV (CCIV),"88,639,364"
+2.20 (+1.61%),139.07,2.34T,Apple Inc. (AAPL),"114,459,360"
+1.53 (+18.50%),9.80,2.664B,"Bionano Genomics, Inc. (BNGO)","115,879,779"
+1.19 (+9.26%),14.04,7.944B,BlackBerry Limited (BB),"116,717,754"
-0.01 (-0.09%),11.52,45.832B,Ford Motor Company (F),"127,493,453"
-0.44 (-0.60%),73.08,45.169B,"Pinterest, Inc. (PINS)","9,554,636"
+3.60 (+1.62%),225.77,207.197B,"salesforce.com, inc. (CRM)","10,186,076"
+1.65 (+4.49%),38.38,3.528B,"Corsair Gaming, Inc. (CRSR)","10,203,302"
+0.08 (+0.49%),16.40,7.83B,Cleveland-Cliffs Inc. (CLF),"10,251,808"
0.00 (0.00%),8.36,11.689B,"Annaly Capital Management, Inc. (NLY)","10,409,807"
