rank,name,year,link
1,The Shawshank Redemption ,1994,https://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_1
2,The Godfather ,1972,https://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_2
3,The Godfather: Part II ,1974,https://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_3
4,The Dark Knight ,2008,https://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_4
5,12 Angry Men ,1957,https://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_5
6,Schindler's List ,1993,https://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_6
7,The Lord of the Rings: The Return of the King ,2003,https://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_7
8,Pulp Fiction ,1994,https://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_8
9,The Lord of the Rings: The Fellowship of the Ring ,2001,https://www.imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_9
10,Fight Club ,1999,https://www.imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_10
11,Forrest Gump ,1994,https://www.imdb.com/title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_11
12,Inception ,2010,https://www.imdb.com/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_12
13,The Lord of the Rings: The Two Towers ,2002,https://www.imdb.com/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_13
14,Star Wars: Episode V - The Empire Strikes Back ,1980,https://www.imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_14
15,The Matrix ,1999,https://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_15
16,Goodfellas ,1990,https://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_16
17,One Flew Over the Cuckoo's Nest ,1975,https://www.imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_17
18,Hamilton ,2020,https://www.imdb.com/title/tt8503618/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_18
19,Se7en ,1995,https://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_19
20,It's a Wonderful Life ,1946,https://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_20
21,The Silence of the Lambs ,1991,https://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_21
22,Star Wars: Episode IV - A New Hope ,1977,https://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_22
23,Saving Private Ryan ,1998,https://www.imdb.com/title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_23
24,Interstellar ,2014,https://www.imdb.com/title/tt0816692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_24
25,The Green Mile ,1999,https://www.imdb.com/title/tt0120689/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_25
26,Léon: The Professional ,1994,https://www.imdb.com/title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_26
27,The Usual Suspects ,1995,https://www.imdb.com/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_27
28,Modern Times ,1936,https://www.imdb.com/title/tt0027977/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_28
29,The Lion King ,1994,https://www.imdb.com/title/tt0110357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_29
30,The Pianist ,2002,https://www.imdb.com/title/tt0253474/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_30
31,Back to the Future ,1985,https://www.imdb.com/title/tt0088763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_31
32,Terminator 2: Judgment Day ,1991,https://www.imdb.com/title/tt0103064/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_32
33,American History X ,1998,https://www.imdb.com/title/tt0120586/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_33
34,Gladiator ,2000,https://www.imdb.com/title/tt0172495/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_34
35,Psycho ,1960,https://www.imdb.com/title/tt0054215/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_35
36,The Departed ,2006,https://www.imdb.com/title/tt0407887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_36
37,Whiplash ,2014,https://www.imdb.com/title/tt2582802/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_37
38,The Prestige ,2006,https://www.imdb.com/title/tt0482571/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_38
39,Once Upon a Time in the West ,1968,https://www.imdb.com/title/tt0064116/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_39
40,Casablanca ,1942,https://www.imdb.com/title/tt0034583/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_40
41,Rear Window ,1954,https://www.imdb.com/title/tt0047396/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_41
42,The Great Dictator ,1940,https://www.imdb.com/title/tt0032553/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_42
43,Alien ,1979,https://www.imdb.com/title/tt0078748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_43
44,Apocalypse Now ,1979,https://www.imdb.com/title/tt0078788/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_44
45,Memento ,2000,https://www.imdb.com/title/tt0209144/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_45
46,Raiders of the Lost Ark ,1981,https://www.imdb.com/title/tt0082971/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_46
47,Joker ,2019,https://www.imdb.com/title/tt7286456/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_47
48,Django Unchained ,2012,https://www.imdb.com/title/tt1853728/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_48
49,Paths of Glory ,1957,https://www.imdb.com/title/tt0050825/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_49
50,Avengers: Infinity War ,2018,https://www.imdb.com/title/tt4154756/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_50
51,Witness for the Prosecution ,1957,https://www.imdb.com/title/tt0051201/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_51
52,Sunset Blvd. ,1950,https://www.imdb.com/title/tt0043014/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_52
53,WALL·E ,2008,https://www.imdb.com/title/tt0910970/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_53
54,The Shining ,1980,https://www.imdb.com/title/tt0081505/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_54
55,Spider-Man: Into the Spider-Verse ,2018,https://www.imdb.com/title/tt4633694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_55
56,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1964,https://www.imdb.com/title/tt0057012/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_56
57,The Dark Knight Rises ,2012,https://www.imdb.com/title/tt1345836/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_57
58,Once Upon a Time in America ,1984,https://www.imdb.com/title/tt0087843/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_58
59,Avengers: Endgame ,2019,https://www.imdb.com/title/tt4154796/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_59
60,Coco ,2017,https://www.imdb.com/title/tt2380307/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_60
61,Aliens ,1986,https://www.imdb.com/title/tt0090605/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=9e00d0ab-4911-4b4c-b1a9-327ce2349814&pf_rd_r=Y5F44E2PPEEHCKM0Y63A&pf_rd_s=center-2&pf_rd_t=15506&pf_rd_i=topenglish&ref_=chttentp_tt_61
